cycle,race,state,seat,candidate_name_DEM,candidate_name_REP,dem_votes,rep_votes,dem_incumbent,rep_incumbent,prev_seat
2020,House,California,District 42,"William ""Liam"" O'Mara",Ken Calvert,157773,210274,n,y,rep
2020,House,California,District 43,Maxine Waters,Joe E. Collins III,199210,78688,y,n,dem
2020,House,California,District 44,Nanette Barragan,-,139661,0,y,n,dem
2020,House,California,District 45,Katie Porter,Greg Raths,221843,193096,y,n,dem
2020,House,California,District 46,Lou Correa,James S. Waters,157803,71716,y,n,dem
2020,House,California,District 47,Alan Lowenthal,John Briscoe,197028,114371,y,n,dem
2020,House,California,District 48,Harley Rouda,Michelle Steel,193362,201738,y,n,dem
2020,House,California,District 49,Mike Levin,Brian Maryott,205349,181157,y,n,dem
2020,House,California,District 50,Ammar Campa-Najjar,Darrell Issa,166859,195510,n,n,rep
2020,House,California,District 51,Juan C. Vargas,Juan M. Hidalgo Jr.,165596,76841,y,n,dem
2020,House,California,District 52,Scott Peters,Jim DeBello,244145,152350,y,n,dem
2020,House,California,District 53,Sara Jacobs,-,199244,0,n,n,dem
2020,House,Colorado,District 1,Diana DeGette,Shane Bolling,331621,105955,y,n,dem
2020,House,Colorado,District 2,Joe Neguse,Charles Winn,316925,182547,y,n,dem
2020,House,Colorado,District 3,Diane Mitsch Bush,Lauren Boebert,194122,220634,n,n,rep
2020,House,Colorado,District 4,Ike McCorkle,Ken Buck,173945,285606,n,y,rep
2020,House,Colorado,District 5,Jillian Freeland,Doug Lamborn,161600,249013,n,y,rep
2020,House,Colorado,District 6,Jason Crow,Steve House,250314,175192,y,n,dem
2020,House,Colorado,District 7,Ed Perlmutter,Casper Stockham,250525,159301,y,n,dem
2020,House,Connecticut,District 1,John B. Larson,Mary Fay,222668,122111,y,n,dem
2020,House,Connecticut,District 2,Joe Courtney,Justin Anderson,218119,140356,y,n,dem
2020,House,Connecticut,District 3,Rosa DeLauro,Margaret Streicker,203265,137596,y,n,dem
2020,House,Connecticut,District 4,Jim Himes,Jonathan Riddle,223832,130627,y,n,dem
2020,House,Connecticut,District 5,Jahana Hayes,David X. Sullivan,192484,151988,y,n,dem
2020,House,Delaware,District 1,Lisa Blunt Rochester,Lee Murphy,281382,196392,y,n,dem
2020,House,Florida,District 1,Phil Her,Matt Gaetz,149172,283352,n,y,rep
2020,House,Florida,District 2,-,Neal Dunn,0,305337,n,y,rep
2020,House,Florida,District 3,Adam Christensen,Kat Cammack,167326,223075,n,n,rep
2020,House,Florida,District 4,Donna Deegan,John Rutherford,196423,308497,n,y,rep
2020,House,Florida,District 5,Al Lawson,Gary Adler,219463,117510,y,n,dem
2020,House,Florida,District 6,Clint Curtis,Michael Waltz,172305,265393,n,y,rep
2020,House,Florida,District 7,Stephanie Murphy,Leo Valentin,224946,175750,y,n,dem
2020,House,Florida,District 8,Jim Kennedy,Bill Posey,177695,282093,n,y,rep
2020,House,Florida,District 9,Darren Soto,Bill Olsen,240724,188889,y,n,dem
2020,House,Florida,District 10,Val Demings,Vennia Francois,239434,136889,y,n,dem
2020,House,Florida,District 11,Dana Cottrell,Daniel Webster,158094,316979,n,y,rep
2020,House,Florida,District 12,Kimberly Walker,Gus Bilirakis,168194,284941,n,y,rep
2020,House,Florida,District 13,Charlie Crist,Anna Paulina Luna,215405,190713,y,n,dem
2020,House,Florida,District 14,Kathy Castor,Christine Quinn,224240,147896,y,n,dem
2020,House,Florida,District 15,Alan Cohn,Scott Franklin,174297,216374,n,n,rep
2020,House,Florida,District 16,Margaret Good,Vern Buchanan,215683,269001,n,y,rep
2020,House,Florida,District 17,Allen Ellison,Greg Steube,140487,266514,n,y,rep
2020,House,Florida,District 18,Pam Keith,Brian Mast,186674,253286,n,y,rep
2020,House,Florida,District 19,Cindy Banyai,Byron Donalds,172146,272440,n,n,rep
2020,House,Florida,District 20,Alcee Hastings,Greg Musselwhite,253661,68748,y,n,dem
2020,House,Florida,District 21,Lois Frankel,Laura Loomer,237925,157612,y,n,dem
2020,House,Florida,District 22,Ted Deutch,James Pruden,235764,166553,y,n,dem
2020,House,Florida,District 23,Debbie Wasserman Schultz,Carla Spalding,221239,158874,y,n,dem
2020,House,Florida,District 24,Frederica Wilson,Lavern Spicer,218825,59084,y,n,dem
2020,House,Florida,District 25,-,Mario Diaz-Balart,0,1,n,y,rep
2020,House,Florida,District 26,Debbie Mucarsel-Powell,Carlos A. Gimenez,165407,177223,y,n,dem
2020,House,Florida,District 27,Donna Shalala,Maria Elvira Salazar,166758,176141,y,n,dem
2020,House,Georgia,District 1,Joyce Griggs,Buddy Carter,135238,189457,n,y,rep
2020,House,Georgia,District 2,Sanford Bishop,Don Cole,161397,111620,y,n,dem
2020,House,Georgia,District 3,Val Almonord,Drew Ferguson,129792,241526,n,y,rep
2020,House,Georgia,District 4,Hank Johnson,Johsie Cruz Ezammudeen,278906,69393,y,n,dem
2020,House,Georgia,District 5,Nikema Williams,Angela Stanton-King,301857,52646,n,n,dem
2020,House,Georgia,District 6,Lucy McBath,Karen Handel,216775,180329,y,n,dem
2020,House,Georgia,District 7,Carolyn Bourdeaux,Rich McCormick,190900,180564,n,n,rep
2020,House,Georgia,District 8,"Lindsay ""Doc"" Holliday",Austin Scott,109264,198701,n,y,rep
2020,House,Georgia,District 9,Devin Pandy,Andrew Clyde,79797,292750,n,n,rep
2020,House,Georgia,District 10,Tabitha Johnson-Green,Jody Hice,142636,235810,n,y,rep
2020,House,Georgia,District 11,Dana Barrett,Barry Loudermilk,160623,245256,n,y,rep
2020,House,Georgia,District 12,Elizabeth Johnson,Rick W. Allen,129061,181038,n,y,rep
2020,House,Georgia,District 13,David Scott,Becky E. Hites,279045,81476,y,n,dem
2020,House,Georgia,District 14,Kevin Van Ausdal,Marjorie Taylor Greene,77798,229827,n,n,rep
2020,House,Hawaii,District 1,Ed Case,Ron Curtis,183245,71188,y,n,dem
2020,House,Hawaii,District 2,Kai Kahele,Joe Akana,171517,84027,n,n,dem
2020,House,Idaho,District 1,Rudy Soto,Russ Fulcher,131380,310736,n,y,rep
2020,House,Idaho,District 2,Aaron Swisher,Mike Simpson,124151,250678,n,y,rep
2020,House,Illinois,District 1,Bobby Rush,Philanise White,239943,85027,y,n,dem
2020,House,Illinois,District 2,Robin Kelly,Theresa Raborn,234896,63142,y,n,dem
2020,House,Illinois,District 3,Marie Newman,Mike Fricilone,172997,133851,n,n,dem
2020,House,Illinois,District 4,"Jesus ""Chuy"" Garcia",Jesus E. Solorio Jr.,187219,35518,y,n,dem
2020,House,Illinois,District 5,Mike Quigley,Tom Hanson,255661,96200,y,n,dem
2020,House,Illinois,District 6,Sean Casten,Jeanne Ives,213777,183891,y,n,dem
2020,House,Illinois,District 7,Danny K. Davis,Craig Cameron,249383,41390,y,n,dem
2020,House,Illinois,District 8,Raja Krishnamoorthi,-,186251,0,y,n,dem
2020,House,Illinois,District 9,Jan Schakowsky,Sargis Sangari,262045,107125,y,n,dem
2020,House,Illinois,District 10,Brad Schneider,Valerie Ramirez Mukherjee,202402,114442,y,n,dem
2020,House,Illinois,District 11,Bill Foster,Rick Laib,194557,112807,y,n,dem
2020,House,Illinois,District 12,Raymond Lenzi,Mike Bost,127577,194839,n,y,rep
2020,House,Illinois,District 13,Betsy Dirksen Londrigan,Rodney Davis,151648,181373,n,y,rep
2020,House,Illinois,District 14,Lauren Underwood,Jim Oberweis,203209,197835,y,n,dem
2020,House,Illinois,District 15,Erika Weaver,Mary Miller,88559,244947,n,n,rep
2020,House,Illinois,District 16,Dani Brzozowski,Adam Kinzinger,119313,218839,n,y,rep
2020,House,Illinois,District 17,Cheri Bustos,Esther Joy King,156011,143863,y,n,dem
2020,House,Illinois,District 18,George Petrilli,Darin LaHood,110039,261840,n,y,rep
2020,House,Indiana,District 1,Frank J. Mrvan,Mark Leyva,185180,132247,n,n,dem
2020,House,Indiana,District 2,Pat Hackett,Jackie Walorski,114967,183601,n,y,rep
2020,House,Indiana,District 3,Chip Coldiron,Jim Banks,104762,220989,n,y,rep
2020,House,Indiana,District 4,Joe Mackey,Jim Baird,112984,225531,n,y,rep
2020,House,Indiana,District 5,Christina Hale,Victoria Spartz,191226,208212,n,n,rep
2020,House,Indiana,District 6,Jeannine Lake,Greg Pence,91103,225318,n,y,rep
2020,House,Indiana,District 7,Andre Carson,Susan Marie Smith,176422,106146,y,n,dem
2020,House,Indiana,District 8,Thomasina Marsili,Larry Bucshon,95691,214643,n,y,rep
2020,House,Indiana,District 9,Andy Ruff,Trey Hollingsworth,122566,222057,n,y,rep
2020,House,Iowa,District 1,Abby Finkenaur,Ashley Hinson,201347,212088,y,n,dem
2020,House,Iowa,District 2,Rita Hart,Marianette Miller-Meeks,196958,196964,n,n,dem
2020,House,Iowa,District 3,Cindy Axne,David Young,219205,212997,y,n,dem
2020,House,Iowa,District 4,J. D. Scholten,Randy Feenstra,144761,237369,n,n,rep
2020,House,Kansas,District 1,Kali Barnett,Tracey Mann,84393,208229,n,n,rep
2020,House,Kansas,District 2,Michelle De La Isla,Jake LaTurner,136650,185464,n,n,rep
2020,House,Kansas,District 3,Sharice Davids,Amanda Adkins,220049,178773,y,n,dem
2020,House,Kansas,District 4,Laura Lombard,Ron Estes,116166,203432,n,y,rep
2020,House,Kentucky,District 1,James Rhodes,James Comer,82141,246329,n,y,rep
2020,House,Kentucky,District 2,Hank Linderman,Brett Guthrie,94643,255735,n,y,rep
2020,House,Kentucky,District 3,John Yarmuth,Rhonda Palazzo,230672,137425,y,n,dem
2020,House,Kentucky,District 4,Alexandra Owensby,Thomas Massie,125896,256613,n,y,rep
2020,House,Kentucky,District 5,Matthew Best,Hal Rogers,47056,250914,n,y,rep
2020,House,Kentucky,District 6,Josh Hicks,Andy Barr,155011,216948,n,y,rep
2020,House,Louisiana,District 1,Lee Ann Dugas,Steve Scalise,94730,270330,n,y,rep
2020,House,Louisiana,District 2,Cedric Richmond,David M. Schilling,201636,47575,y,n,dem
2020,House,Louisiana,District 3,Braylon Harris,Clay Higgins,60852,230480,n,y,rep
2020,House,Louisiana,District 4,Kenny Houston,Mike Johnson,78157,185265,n,y,rep
2020,House,Louisiana,District 5,Luke Letlow,Candy Shoemaker-Cristophe,50812,102533,n,n,rep
2020,House,Louisiana,District 6,Dartanyon Williams,Garret Graves,95541,265706,n,y,rep
2020,House,Maine,District 1,Chellie Pingree,Jay Allen,271004,165008,y,n,dem
2020,House,Maine,District 2,Jared Golden,Dale Crafts,197974,175228,y,n,dem
2020,House,Maryland,District 1,Mia Mason,Andy Harris,143877,250901,n,y,rep
2020,House,Maryland,District 2,Dutch Ruppersberger,Johnny Ray Salling,224836,106355,y,n,dem
2020,House,Maryland,District 3,John Sarbanes,Charles Anthony,260358,112117,y,n,dem
2020,House,Maryland,District 4,Anthony Brown,George McDermott,282119,71671,y,n,dem
2020,House,Maryland,District 5,Steny Hoyer,Chris Palombi,274210,123525,y,n,dem
2020,House,Maryland,District 6,David Trone,Neil Parrott,215540,143599,y,n,dem
2020,House,Maryland,District 7,Kweisi Mfume,Kimberly Klacik,237084,92825,y,n,dem
2020,House,Maryland,District 8,Jamie Raskin,Gregory Thomas Coll,274716,127157,y,n,dem
2020,House,Massachusetts,District 1,Richard neal,-,275376,0,y,n,dem
2020,House,Massachusetts,District 2,Jim McGovern,Tracy Lovvorn,249854,132220,y,n,dem
2020,House,Massachusetts,District 3,Lori Trahan,-,286896,0,y,n,dem
2020,House,Massachusetts,District 4,Jake Auchincloss,Julie Hall,251102,160474,n,n,dem
2020,House,Massachusetts,District 5,Katherine Clark,Caroline Colarusso,294427,101351,y,n,dem
2020,House,Massachusetts,District 6,Seth Moulton,John Paul Moran,286377,150695,y,n,dem
2020,House,Massachusetts,District 7,Ayanna Pressley,-,267362,38675,y,n,dem
2020,House,Massachusetts,District 8,Stephen F. Lynch,-,310940,0,y,n,dem
2020,House,Massachusetts,District 9,Bill Keating,Helen Brady,260262,154261,y,n,dem
2020,House,Michigan,District 1,Dana Ferguson,Jack Bergman,153328,256581,n,y,rep
2020,House,Michigan,District 2,Bryan Berghoef,Bill Huizenga,154122,238711,n,y,rep
2020,House,Michigan,District 3,Hillary Scholten,Peter Meijer,189769,213649,n,n,rep
2020,House,Michigan,District 4,Jerry Hilliard,John Moolenaar,120802,242621,n,y,rep
2020,House,Michigan,District 5,Dan Kildee,Tim Kelly,196599,150772,y,n,dem
2020,House,Michigan,District 6,Jon Hoadley,Fred Upton,152085,211496,n,y,rep
2020,House,Michigan,District 7,Gretchen Driskell,Tim Walberg,159743,227524,n,y,rep
2020,House,Michigan,District 8,Elissa Slotkin,Paul Junge,217922,202525,y,n,dem
2020,House,Michigan,District 9,Andy Levin,Charles Langworthy,230318,153296,y,n,dem
2020,House,Michigan,District 10,Kimberly Bizon,Lisa McClain,138179,271607,n,n,rep
2020,House,Michigan,District 11,Haley Stevens,Eric Esshaki,226128,215405,y,n,dem
2020,House,Michigan,District 12,Debbie Dingell,Jeff Jones,254957,117719,y,n,dem
2020,House,Michigan,District 13,Rashida Tlaib,David Dudenhoefer,223205,53311,y,n,dem
2020,House,Michigan,District 14,Brenda Lawrence,Robert Patrick,271370,62664,y,n,dem
2020,House,Minnesota,District 1,Dan Feehan,Jim Hagedorn,167890,179234,n,y,rep
2020,House,Minnesota,District 2,Angie Craig,Tyler Kistner,204534,194954,y,n,dem
2020,House,Minnesota,District 3,Dean Phillips,Kendall Qualls,246666,196625,y,n,dem
2020,House,Minnesota,District 4,Betty McCollum,Gene Rechtzigel,245813,112730,y,n,dem
2020,House,Minnesota,District 5,Ilhan Omar,Lacy Johnson,255924,102878,y,n,dem
2020,House,Minnesota,District 6,Tawnja Zahradka,Tom Emmer,140853,270901,n,y,rep
2020,House,Minnesota,District 7,Collin Peterson,Michelle Fischbach,144840,194066,y,n,dem
2020,House,Minnesota,District 8,Quinn Nystrom,Pete Stauber,147853,223432,n,y,rep
2020,House,Mississippi,District 1,Antonia Eliason,Trent Kelly,104008,228787,n,y,rep
2020,House,Mississippi,District 2,Bennie Thompson,Brian Flowers,196224,101010,y,n,dem
2020,House,Mississippi,District 3,"Dorothy ""Dot"" Benford",Michael Guest,120782,221064,n,y,rep
2020,House,Mississippi,District 4,-,Steven Palazzo,0,255971,n,y,rep
2020,House,Missouri,District 1,Cori Bush,Anthony Rogers,249087,59940,n,n,dem
2020,House,Missouri,District 2,Jill Schupp,Ann Wagner,204540,233157,n,y,rep
2020,House,Missouri,District 3,Megan Rezabek,Blaine Luetkemeyer,116095,282866,n,y,rep
2020,House,Missouri,District 4,Lindsey Simmons,Vicky Hartzler,107635,245247,n,y,rep
2020,House,Missouri,District 5,Emanuel Cleaver,Ryan Derks,207180,135934,y,n,dem
2020,House,Missouri,District 6,Gena Ross,Sam Graves,118926,258709,n,y,rep
2020,House,Missouri,District 7,Teresa Montseny,Billy Long,98111,254318,n,y,rep
2020,House,Missouri,District 8,Kathy Ellis,Jason Smith,70561,253811,n,y,rep
2020,House,Montana,District 1,Kathleen Williams,Matt Rosendale,262340,339169,n,n,rep
2020,House,Nebraska,District 1,Kate Bolz,Jeff Fortenberry,119622,189006,n,y,rep
2020,House,Nebraska,District 2,Kara Eastman,Don Bacon,155706,171071,n,y,rep
2020,House,Nebraska,District 3,Mark Elworth Jr.,Adrian Smith,50690,225157,n,y,rep
2020,House,Nevada,District 1,Dina Titus,Joyce Bentley,137868,74490,y,n,dem
2020,House,Nevada,District 2,Patricia Ackerman,Mark Amodei,155780,216078,n,y,rep
2020,House,Nevada,District 3,Susie Lee,Dan Rodimer,203421,190975,y,n,dem
2020,House,Nevada,District 4,Steven Horsford,Jim Marchant,168457,152284,y,n,dem
2020,House,New Hampshire,District 1,Chris Pappas,Matt Mowers,205606,185159,y,n,dem
2020,House,New Hampshire,District 2,Ann McLane Kuster,Steve Negron,208289,168886,y,n,dem
2020,House,New Jersey,District 1,Donald Norcross,Claire Gustafson,240567,144463,y,n,dem
2020,House,New Jersey,District 2,Amy Kennedy,Jeff Van Drew,173849,195526,n,y,rep
2020,House,New Jersey,District 3,Andy Kim,David Richter,229840,196327,y,n,dem
2020,House,New Jersey,District 4,Stephanie Schmid,Chris Smith,162420,254103,n,y,rep
2020,House,New Jersey,District 5,Josh Gottheimer,Frank Pallotta,225175,193333,y,n,dem
2020,House,New Jersey,District 6,Frank Pallone Jr.,Christian Onuoha,199648,126760,y,n,dem
2020,House,New Jersey,District 7,Tom Malinowski,Thomas H. Kean Jr.,219629,214318,y,n,dem
2020,House,New Jersey,District 8,Albio Sires,Jason Mushnick,176758,58686,y,n,dem
2020,House,New Jersey,District 9,Bill Pascrell Jr.,Billy Prempeh,203674,98629,y,n,dem
2020,House,New Jersey,District 10,Donald Payne Jr.,Jennifer Zinone,241522,40298,y,n,dem
2020,House,New Jersey,District 11,Mikie Sherrill,Rosemary Becchi,235163,206013,y,n,dem
2020,House,New Jersey,District 12,Bonnie Watson Coleman,Mark Razzoli,230883,114591,y,n,dem
2020,House,New Mexico,District 1,Deb Haaland,Michelle Garcia Holmes,186953,134337,y,n,dem
2020,House,New Mexico,District 2,Xochitl Torres Small,Yvette Herrell,122546,142283,y,n,dem
2020,House,New Mexico,District 3,Teresa Leger Fernandez,Alexis Johnson,186282,131166,n,n,dem
2020,House,New York,District 1,Nancy Goroff,Lee Zeldin,169294,205715,n,y,rep
2020,House,New York,District 2,Jackie Gordon,Andrew Garbarino,154246,177379,n,n,rep
2020,House,New York,District 3,Thomas Suozzi,George Santos,208555,161931,y,n,dem
2020,House,New York,District 4,Kathleen Rice,Douglas Tuman,199762,153007,y,n,dem
2020,House,New York,District 5,Gregory Meeks,-,229125,0,y,n,dem
2020,House,New York,District 6,Grace Meng,Tom Zmich,158862,74829,y,n,dem
2020,House,New York,District 7,Nydia Velazquez,Brian Kelly,191073,32520,y,n,dem
2020,House,New York,District 8,Hakeem Jeffries,Garfield Wallace,234933,42007,y,n,dem
2020,House,New York,District 9,Yvette Clarke,Constantin Jean-Pierre,230221,43950,y,n,dem
2020,House,New York,District 10,Jerry Nadler,Cathy Bernstein,206310,66889,y,n,dem
2020,House,New York,District 11,Max Rose,Nicole Malliotakis,137198,155608,y,n,dem
2020,House,New York,District 12,Carolyn Maloney,Carlos Santiago-Cano,265172,53061,y,n,dem
2020,House,New York,District 13,Adriano Espaillat,Lovelynn Gwinn,231841,19829,y,n,dem
2020,House,New York,District 14,Alexandria Ocasio-Cortez,John Cummings,152661,58440,y,n,dem
2020,House,New York,District 15,Ritchie Torres,Patrick Delices,169533,21221,n,n,dem
2020,House,New York,District 16,Jamaal Bowman,Patrick McManus,218514,41094,n,n,dem
2020,House,New York,District 17,Mondaire Jones,Maureen McArdle Schulman,197354,117309,n,n,dem
2020,House,New York,District 18,Sean Patrick Maloney,Chele Farley,187444,145145,y,n,dem
2020,House,New York,District 19,Antonio Delgado,Kyle Van De Water,192100,151475,y,n,dem
2020,House,New York,District 20,Paul Tonko,Liz Joy,219705,139446,y,n,dem
2020,House,New York,District 21,Tedra Cobb,Elise Stefanik,131995,188655,n,y,rep
2020,House,New York,District 22,Anthony Brindisi,Claudia Tenney,155989,156098,y,n,dem
2020,House,New York,District 23,Tracy Mitrano,Tom Reed,128976,181021,n,y,rep
2020,House,New York,District 24,Dana Balter,John Katko,147877,182809,n,y,rep
2020,House,New York,District 25,Joseph Morelle,George Mitris,206396,136198,y,n,dem
2020,House,New York,District 26,Brian Higgins,Ricky Donovan,223366,91706,y,n,dem
2020,House,New York,District 27,Nate McMurray,Chris Jacobs,149449,228885,n,y,rep
2020,House,North Carolina,District 1,G. K. Butterfield,Sandy Smith,188870,159748,y,n,dem
2020,House,North Carolina,District 2,Deborah K. Ross,Alan Swain,311887,172544,n,n,rep
2020,House,North Carolina,District 3,Daryl Farrow,Greg Murphy,132752,229800,n,y,rep
2020,House,North Carolina,District 4,David Price,Robert Thomas,332421,161298,y,n,dem
2020,House,North Carolina,District 5,David Brown,Virginia Foxx,119846,257843,n,y,rep
2020,House,North Carolina,District 6,Kathy Manning,Lee Haywood,253531,153598,n,n,rep
2020,House,North Carolina,District 7,Chris Ward,David Rouzer,272443,179045,n,y,rep
2020,House,North Carolina,District 8,Patricia Timmons-Goodson,Richard Hudson,177781,202774,n,y,rep
2020,House,North Carolina,District 9,Cynthia Wallace,Dan Bishop,179463,224661,n,y,rep
2020,House,North Carolina,District 10,David Parker,Patrick McHenry,128189,284095,n,y,rep
2020,House,North Carolina,District 11,Moe Davis,Madison Cawthorn,190609,245351,n,n,rep
2020,House,North Carolina,District 12,Alma Adams,-,341457,0,y,n,dem
2020,House,North Carolina,District 13,Scott Hufman,Ted Budd,124684,267181,n,y,rep
2020,House,North Dakota,District 1,Zach Raknerud,Kelly Armstrong,97970,245229,n,y,rep
2020,House,Ohio,District 1,Kate Schroder,Steve Chabot,172022,199560,n,y,rep
2020,House,Ohio,District 2,Jaime Castle,Brad Wenstrup,146781,230430,n,y,rep
2020,House,Ohio,District 3,Joyce Beatty,Mark Richardson,227420,93569,y,n,dem
2020,House,Ohio,District 4,Shannon Freshour,Jim Jordan,101897,235875,n,y,rep
2020,House,Ohio,District 5,Nick Rubando,Bob Latta,120962,257019,n,y,rep
2020,House,Ohio,District 6,Shawna Roberts,Bill Johnson,85661,249130,n,y,rep
2020,House,Ohio,District 7,Quentin Potter,Bob Gibbs,102271,236607,n,y,rep
2020,House,Ohio,District 8,Vanessa Enoch,Warren Davidson,110766,246277,n,y,rep
