cycle,race,state,special,link
2018,House,Alabama,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Alabama
2018,House,Alaska,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_election_in_Alaska
2018,House,Arizona,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Arizona
2018,House,Arkansas,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Arkansas
2018,House,California,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_California
2018,House,Colorado,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Colorado
2018,House,Connecticut,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Connecticut
2018,House,Delaware,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_election_in_Delaware
2018,House,Florida,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Florida
2018,House,Georgia,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Georgia
2018,House,Hawaii,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Hawaii
2018,House,Idaho,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Idaho
2018,House,Illinois,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Illinois
2018,House,Indiana,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Indiana
2018,House,Iowa,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Iowa
2018,House,Kansas,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Kansas
2018,House,Kentucky,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Kentucky
2018,House,Louisiana,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Louisiana
2018,House,Maine,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Maine
2018,House,Maryland,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Maryland
2018,House,Massachusetts,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Massachusetts
2018,House,Michigan,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Michigan
2018,House,Minnesota,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Minnesota
2018,House,Mississippi,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Mississippi
2018,House,Missouri,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Missouri
2018,House,Montana,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_election_in_Montana
2018,House,Nebraska,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Nebraska
2018,House,Nevada,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Nevada
2018,House,New Hampshire,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_New_Hampshire
2018,House,New Jersey,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_New_Jersey
2018,House,New Mexico,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_New_Mexico
2018,House,New York,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_New_York
2018,House,North Carolina,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_North_Carolina
2018,House,North Dakota,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_election_in_North_Dakota
2018,House,Ohio,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Ohio
2018,House,Oklahoma,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Oklahoma
2018,House,Oregon,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Oregon
2018,House,Pennsylvania,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Pennsylvania
2018,House,Rhode Island,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Rhode_Island
2018,House,South Carolina,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_South_Carolina
2018,House,South Dakota,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_election_in_South_Dakota
2018,House,Tennessee,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Tennessee
2018,House,Texas,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Texas
2018,House,Utah,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Utah
2018,House,Vermont,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_election_in_Vermont
2018,House,Virginia,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Virginia
2018,House,Washington,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Washington
2018,House,West Virginia,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_West_Virginia
2018,House,Wisconsin,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_elections_in_Wisconsin
2018,House,Wyoming,,https://en.wikipedia.org/wiki/2018_United_States_House_of_Representatives_election_in_Wyoming
2020,House,Alabama,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Alabama
2020,House,Alaska,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_election_in_Alaska
2020,House,Arizona,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Arizona
2020,House,Arkansas,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Arkansas
2020,House,California,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_California
2020,House,Colorado,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Colorado
2020,House,Connecticut,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Connecticut
2020,House,Delaware,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_election_in_Delaware
2020,House,Florida,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Florida
2020,House,Georgia,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Georgia
2020,House,Hawaii,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Hawaii
2020,House,Idaho,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Idaho
2020,House,Illinois,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Illinois
2020,House,Indiana,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Indiana
2020,House,Iowa,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Iowa
2020,House,Kansas,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Kansas
2020,House,Kentucky,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Kentucky
2020,House,Louisiana,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Louisiana
2020,House,Maine,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Maine
2020,House,Maryland,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Maryland
2020,House,Massachusetts,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Massachusetts
2020,House,Michigan,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Michigan
2020,House,Minnesota,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Minnesota
2020,House,Mississippi,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Mississippi
2020,House,Missouri,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Missouri
2020,House,Montana,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_election_in_Montana
2020,House,Nebraska,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Nebraska
2020,House,Nevada,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Nevada
2020,House,New Hampshire,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_New_Hampshire
2020,House,New Jersey,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_New_Jersey
2020,House,New Mexico,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_New_Mexico
2020,House,New York,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_New_York
2020,House,North Carolina,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_North_Carolina
2020,House,North Dakota,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_election_in_North_Dakota
2020,House,Ohio,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Ohio
2020,House,Oklahoma,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Oklahoma
2020,House,Oregon,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Oregon
2020,House,Pennsylvania,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Pennsylvania
2020,House,Rhode Island,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Rhode_Island
2020,House,South Carolina,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_South_Carolina
2020,House,South Dakota,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_election_in_South_Dakota
2020,House,Tennessee,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Tennessee
2020,House,Texas,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Texas
2020,House,Utah,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Utah
2020,House,Vermont,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_election_in_Vermont
2020,House,Virginia,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Virginia
2020,House,Washington,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Washington
2020,House,West Virginia,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_West_Virginia
2020,House,Wisconsin,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_elections_in_Wisconsin
2020,House,Wyoming,,https://en.wikipedia.org/wiki/2020_United_States_House_of_Representatives_election_in_Wyoming
2018,Senate,Arizona,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Arizona
2018,Senate,California,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_California
2018,Senate,Connecticut,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Connecticut
2018,Senate,Delaware,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Delaware
2018,Senate,Florida,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Florida
2018,Senate,Hawaii,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Hawaii
2018,Senate,Indiana,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Indiana
2018,Senate,Maine,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Maine
2018,Senate,Maryland,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Maryland
2018,Senate,Massachusetts,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Massachusetts
2018,Senate,Michigan,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Michigan
2018,Senate,Minnesota,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Minnesota
2018,Senate,Minnesota,special,https://en.wikipedia.org/wiki/2018_United_States_Senate_special_election_in_Minnesota
2018,Senate,Mississippi,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Mississippi
2018,Senate,Mississippi,special,https://en.wikipedia.org/wiki/2018_United_States_Senate_special_election_in_Mississippi
2018,Senate,Missouri,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Missouri
2018,Senate,Montana,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Montana
2018,Senate,Nebraska,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Nebraska
2018,Senate,Nevada,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Nevada
2018,Senate,New Jersey,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_New_Jersey
2018,Senate,New Mexico,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_New_Mexico
2018,Senate,New York,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_New_York
2018,Senate,North Dakota,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_North_Dakota
2018,Senate,Ohio,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Ohio
2018,Senate,Pennsylvania,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Pennsylvania
2018,Senate,Rhode Island,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Rhode_Island
2018,Senate,Tennessee,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Tennessee
2018,Senate,Texas,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Texas
2018,Senate,Utah,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Utah
2018,Senate,Vermont,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Vermont
2018,Senate,Virginia,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Virginia
2018,Senate,Washington,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Washington
2018,Senate,West Virginia,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_West_Virginia
2018,Senate,Wisconsin,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Wisconsin
2018,Senate,Wyoming,,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Wyoming
2020,Senate,Alabama,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Alabama
2020,Senate,Alaska,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Alaska
2020,Senate,Arizona,special,https://en.wikipedia.org/wiki/2020_United_States_Senate_special_election_in_Arizona
2020,Senate,Arkansas,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Arkansas
2020,Senate,Colorado,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Colorado
2020,Senate,Delaware,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Delaware
2020,Senate,Georgia,,https://en.wikipedia.org/wiki/2020%E2%80%9321_United_States_Senate_election_in_Georgia
2020,Senate,Georgia,special,https://en.wikipedia.org/wiki/2020%E2%80%9321_United_States_Senate_special_election_in_Georgia
2020,Senate,Idaho,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Idaho
2020,Senate,Illinois,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Illinois
2020,Senate,Iowa,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Iowa
2020,Senate,Kansas,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Kansas
2020,Senate,Kentucky,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Kentucky
2020,Senate,Louisiana,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Louisiana
2020,Senate,Maine,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Maine
2020,Senate,Massachusetts,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Massachusetts
2020,Senate,Michigan,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Michigan
2020,Senate,Minnesota,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Minnesota
2020,Senate,Mississippi,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Mississippi
2020,Senate,Montana,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Montana
2020,Senate,Nebraska,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Nebraska
2020,Senate,New Hampshire,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_New_Hampshire
2020,Senate,New Jersey,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_New_Jersey
2020,Senate,New Mexico,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_New_Mexico
2020,Senate,North Carolina,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_North_Carolina
2020,Senate,Oklahoma,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Oklahoma
2020,Senate,Oregon,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Oregon
2020,Senate,Rhode Island,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Rhode_Island
2020,Senate,South Carolina,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_South_Carolina
2020,Senate,South Dakota,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_South_Dakota
2020,Senate,Tennessee,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Tennessee
2020,Senate,Texas,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Texas
2020,Senate,Virginia,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Virginia
2020,Senate,West Virginia,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_West_Virginia
2020,Senate,Wyoming,,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Wyoming
2018,Governor,Alabama,,https://en.wikipedia.org/wiki/2018_Alabama_gubernatorial_election
2018,Governor,Alaska,,https://en.wikipedia.org/wiki/2018_Alaska_gubernatorial_election
2018,Governor,Arizona,,https://en.wikipedia.org/wiki/2018_Arizona_gubernatorial_election
2018,Governor,Arkansas,,https://en.wikipedia.org/wiki/2018_Arkansas_gubernatorial_election
2018,Governor,California,,https://en.wikipedia.org/wiki/2018_California_gubernatorial_election
2018,Governor,Colorado,,https://en.wikipedia.org/wiki/2018_Colorado_gubernatorial_election
2018,Governor,Connecticut,,https://en.wikipedia.org/wiki/2018_Connecticut_gubernatorial_election
2018,Governor,Florida,,https://en.wikipedia.org/wiki/2018_Florida_gubernatorial_election
2018,Governor,Georgia,,https://en.wikipedia.org/wiki/2018_Georgia_gubernatorial_election
2018,Governor,Hawaii,,https://en.wikipedia.org/wiki/2018_Hawaii_gubernatorial_election
2018,Governor,Idaho,,https://en.wikipedia.org/wiki/2018_Idaho_gubernatorial_election
2018,Governor,Illinois,,https://en.wikipedia.org/wiki/2018_Illinois_gubernatorial_election
2018,Governor,Iowa,,https://en.wikipedia.org/wiki/2018_Iowa_gubernatorial_election
2018,Governor,Kansas,,https://en.wikipedia.org/wiki/2018_Kansas_gubernatorial_election
2018,Governor,Maine,,https://en.wikipedia.org/wiki/2018_Maine_gubernatorial_election
2018,Governor,Maryland,,https://en.wikipedia.org/wiki/2018_Maryland_gubernatorial_election
2018,Governor,Massachusetts,,https://en.wikipedia.org/wiki/2018_Massachusetts_gubernatorial_election
2018,Governor,Michigan,,https://en.wikipedia.org/wiki/2018_Michigan_gubernatorial_election
2018,Governor,Minnesota,,https://en.wikipedia.org/wiki/2018_Minnesota_gubernatorial_election
2018,Governor,Nebraska,,https://en.wikipedia.org/wiki/2018_Nebraska_gubernatorial_election
2018,Governor,Nevada,,https://en.wikipedia.org/wiki/2018_Nevada_gubernatorial_election
2018,Governor,New Hampshire,,https://en.wikipedia.org/wiki/2018_New_Hampshire_gubernatorial_election
2018,Governor,New Mexico,,https://en.wikipedia.org/wiki/2018_New_Mexico_gubernatorial_election
2018,Governor,New York,,https://en.wikipedia.org/wiki/2018_New_York_gubernatorial_election
2018,Governor,Ohio,,https://en.wikipedia.org/wiki/2018_Ohio_gubernatorial_election
2018,Governor,Oklahoma,,https://en.wikipedia.org/wiki/2018_Oklahoma_gubernatorial_election
2018,Governor,Oregon,,https://en.wikipedia.org/wiki/2018_Oregon_gubernatorial_election
2018,Governor,Pennsylvania,,https://en.wikipedia.org/wiki/2018_Pennsylvania_gubernatorial_election
2018,Governor,Rhode Island,,https://en.wikipedia.org/wiki/2018_Rhode_Island_gubernatorial_election
2018,Governor,South Carolina,,https://en.wikipedia.org/wiki/2018_South_Carolina_gubernatorial_election
2018,Governor,South Dakota,,https://en.wikipedia.org/wiki/2018_South_Dakota_gubernatorial_election
2018,Governor,Tennessee,,https://en.wikipedia.org/wiki/2018_Tennessee_gubernatorial_election
2018,Governor,Texas,,https://en.wikipedia.org/wiki/2018_Texas_gubernatorial_election
2018,Governor,Vermont,,https://en.wikipedia.org/wiki/2018_Vermont_gubernatorial_election
2018,Governor,Wisconsin,,https://en.wikipedia.org/wiki/2018_Wisconsin_gubernatorial_election
2018,Governor,Wyoming,,https://en.wikipedia.org/wiki/2018_Wyoming_gubernatorial_election
2020,Governor,Delaware,,https://en.wikipedia.org/wiki/2020_Delaware_gubernatorial_election
2020,Governor,Indiana,,https://en.wikipedia.org/wiki/2020_Indiana_gubernatorial_election
2020,Governor,Missouri,,https://en.wikipedia.org/wiki/2020_Missouri_gubernatorial_election
2020,Governor,Montana,,https://en.wikipedia.org/wiki/2020_Montana_gubernatorial_election
2020,Governor,New Hampshire,,https://en.wikipedia.org/wiki/2020_New_Hampshire_gubernatorial_election
2020,Governor,North Carolina,,https://en.wikipedia.org/wiki/2020_North_Carolina_gubernatorial_election
2020,Governor,North Dakota,,https://en.wikipedia.org/wiki/2020_North_Dakota_gubernatorial_election
2020,Governor,Utah,,https://en.wikipedia.org/wiki/2020_Utah_gubernatorial_election
2020,Governor,Vermont,,https://en.wikipedia.org/wiki/2020_Vermont_gubernatorial_election
2020,Governor,Washington,,https://en.wikipedia.org/wiki/2020_Washington_gubernatorial_election
2020,Governor,West Virginia,,https://en.wikipedia.org/wiki/2020_West_Virginia_gubernatorial_election
