n,resid
0,-0.09413123886131525
0,-0.01702523108796611
0,-0.1476983898489692
4,-0.28052975409518577
0,-0.6508500451068833
1,0.01972680109477798
0,-0.8461946735248004
1,-0.2711720905127767
0,-0.13895799272026021
1,0.21885874138250794
0,-0.4385427451867405
1,0.029912908537068572
0,0.14835713069374307
0,-0.3436707052102653
0,0.8189435283521462
0,0.2072848447703428
0,0.5655073231736524
13,-0.03558289657263853
0,-0.05097651523332136
14,-0.1466142745931137
9,-0.062381151875614174
0,-0.0317903506522047
0,-0.6978673351741673
0,-0.6458805788558251
0,0.04500132871557461
0,0.1955618941962347
0,-0.2870108254460545
0,0.17757172542756927
0,0.10391692680778858
0,0.5266643223167746
6,0.07548842712151593
0,-0.19139228829224708
2,0.3642910652636744
10,0.1876508519816552
1,0.19682136511387893
0,0.1297795660461174
0,0.02743955781467955
0,0.29697435925181226
0,-0.13585129092929882
0,-0.2873499002599945
0,-1.3063342704887577
8,-0.0487126568824105
0,-0.22246491481328157
0,0.28797733275308246
0,-0.04505213674548436
9,-0.059727439476411126
5,0.0025428573044841557
0,-0.022743359331278246
0,0.3175413951156587
0,-0.43518440563115335
1,0.35383670538540657
0,0.5270254820689333
0,0.14315995349345623
4,-0.0465556008086066
5,0.18232080811700924
3,0.12903352701396242
0,0.08979344488219065
0,0.8928080786986352
0,0.09264683136568319
0,0.6770665450685904
0,-0.09953993164106278
0,-0.2819694707054873
0,0.32013436846042853
0,-0.16357027139942132
1,-0.6570711359012651
0,-0.022882612980243522
5,-0.1072648987705675
1,-0.5735655390988483
9,0.0636207473193264
6,-0.13653256731280639
0,-1.4006452887874177
1,0.352858948121202
2,-0.008930528163885412
0,0.12885136545479436
0,0.0345589070598914
0,0.15553873268243357
9,-0.12262033162093819
2,-0.038534104385727075
7,-0.2671460435714774
2,-0.06118148659079327
2,0.012730411019963861
0,0.22675578647486705
11,0.004651123918054452
0,-0.34506269993441396
0,-0.6556006731971908
3,-0.10191586380934138
0,0.27973008112157727
13,-0.18405519792465674
1,-0.12201599639136301
1,-0.26619024086756915
3,-0.02638986130548586
3,-0.27155753244660075
0,-0.3065132208035448
14,-0.13381347009353517
0,-0.17081554974219681
0,-0.34934858765276267
1,-0.2926081416346256
0,-0.1459901273395397
0,0.09843816413226858
7,0.2725058651658969
0,-0.2164990336081254
0,-0.09407232691555834
0,-0.05982221515453845
3,-0.08805360814503521
0,-0.2710441349573216
0,-0.286792777049305
0,-0.11386892162761325
1,-0.06327276823365302
1,-0.16672004796719175
1,0.3279754782302716
1,-0.2930947297686809
0,-0.7365994098647383
0,-1.121008618368022
3,0.1899947148461996
1,-0.23263453746650953
2,-0.038189604211445016
1,0.04357997036845651
0,-0.37859054640253464
6,-0.13596500040366394
0,-0.19742926349263895
0,0.051687981749387935
0,-0.35028864252162356
5,-0.038845870448797504
0,-0.16787558143808567
0,0.20564536597591954
0,0.08179415225895559
0,-0.347659955845842
0,0.7492880064361964
0,0.4090372665354828
0,0.14271672015241427
1,-0.24648435305770844
0,0.35665626325341027
0,0.85625146694555
0,0.08781419505045934
0,-0.04383852533417415
0,-0.5066746908341143
1,-0.03224812977973324
0,0.04965365097106786
0,-0.010843027995549731
0,0.30719750349429387
5,0.11723779852134547
0,-0.2615235655097923
2,-0.21744430899767597
3,-0.08618466699062896
0,-0.0300924768230581
0,0.1900299585800918
0,-0.4962559510198874
0,0.09335085521968123
6,0.019598358954117975
5,-0.07303379348916536
6,0.10785434614244077
0,0.08585459391753392
0,0.5441383724024325
5,0.022895045721988083
0,-0.06571556768806491
2,-0.007092690206839836
0,-0.8321569551234481
0,0.41561796483968133
0,-0.7069472219380806
1,0.060139850980219206
0,-1.3042928422271285
0,0.4878436784326663
0,0.06653323110852916
0,-0.5991483541502898
2,0.05195164555275214
0,0.15289736214451355
0,0.0013633929142989332
0,-0.024915059161834563
0,-0.004879007559653092
0,-0.8585278934427647
0,0.7603581127310124
0,0.18441365967183437
0,-0.67358652830503285
0,-0.061132213090145326
0,0.04593053122838836
0,-0.04746368002737311
0,0.21589532289187974
0,-0.039240721848415816
0,0.2027576479965959
0,0.04634839696996876
1,-0.10707937464425313
0,0.536695125266481
0,0.013477085530457344
8,-0.0012505754771191258
2,-0.10426348221077697
0,-0.2643086379040317
0,-0.04914378926883284
0,0.3237547205062029
0,-0.3474766060966581
4,0.16025796662340575
1,0.07987366539090447
0,0.7439110926027149
0,-0.2036833104604875
0,0.0982973561046947
0,0.3803803824930423
2,-0.11536419350807431
0,0.16717877882032495
0,-0.41911538370048695
0,-0.025004766200680706
5,-0.053864210461813694
0,0.39265315499967746
9,-0.04177176962362226
8,0.03538228651799592
1,0.18589977305761185
0,-0.098720772586527
0,-0.14972822649548045
0,0.1085148522247047
0,0.4650971040680767
0,0.09655751205063334
0,-0.1261979010898734
0,-0.10863018517502876
0,-0.23398849718569636
1,-0.0736013055529921
0,0.003070869379087071
0,0.43389908206451544
0,0.47838451651759833
0,-0.04941394050928327
0,0.17401886083465812
0,0.27181701882451426
0,0.04755945223528546
0,0.032048948150336265
0,0.06946248459918669
0,0.2012785826825546
10,-0.027866545528741987
0,0.3194795539644699
0,0.018766504953877328
0,0.6302985189721929
7,0.040869556535833004
7,-0.011519576094657008
11,0.047693223749143004
0,0.2061257865323099
0,-0.21599676112797628
0,0.30440056296930573
0,0.11637549640428813
2,-0.2791845931777336
4,0.14750238962340592
0,-0.08683405378653886
0,0.37446015939774724
0,-0.4396566195120041
2,0.3234852916173141
0,-0.9699083404678177
0,-1.0980786915641656
0,-0.5442719713665788
1,-0.049975267436629306
1,0.126020622970921
2,-0.19077021438953762
11,0.007436477618630283
0,0.2803968495572881
0,-0.2691896815741587
0,-0.8167055341843937
0,0.2708562161451725
2,-0.13532279073586792
0,0.3339275725353304
0,-0.2621359316344466
0,0.07673846803219542
0,0.08575896254394066
0,0.2704416159402345
2,-0.025984996754235157
0,-0.019941397009225037
0,0.2962365811763923
0,0.4254604391507575
0,-0.2670319126824847
0,-0.5792810441454244
9,0.09989660799688105
0,-0.8423849726559691
0,0.09763010212614698
0,0.07163877047399314
7,0.08714162162162054
0,0.38420509591547836
0,-0.048983355786558214
1,-0.2910977639494836
3,0.030293558777463953
0,-0.29220543870857907
0,-0.25021262082111984
0,-0.009308995188316294
0,0.18399835208995596
0,0.34433886589602347
0,0.408394366996345
0,0.36226128538870095
0,-0.2565949826693774
0,0.28722200107836904
0,-0.07639730643879922
4,0.16947932307969749
0,0.5865886037936059
0,0.4217182008851279
0,0.2013782608792144
1,0.040660711611569145
0,0.3448207221080517
0,0.4034587158732945
4,-0.05684511925767041
3,0.19929453216590923
3,0.08274447997226766
3,0.06562782550594043
0,0.1764111704880078
0,0.06444221782947146
0,0.3195398164837313
0,-0.0415824113423533
1,-0.20128699134692707
0,0.39503596763399806
1,0.093430379706398
1,-0.4624274115610303
0,0.10437410911441691
1,0.24070528652571796
3,0.07952044252870083
0,0.019458861475465994
0,-0.8829735315636211
0,-0.19328044830875069
0,0.28403482622050424
0,-0.15147265393828457
1,0.184523073055113
1,0.1769491497445388
6,0.07740807401162009
104,0.16918617926510687
0,0.11419223896283381
2,-0.07383088551048167
35,0.15044690442585573
8,0.16728113898664507
30,0.0025860189951345397
34,-0.17233607952791508
28,0.2614452928528461
13,0.06706295240173527
3,0.30834140343773675
25,0.04343587607657476
22,0.09794749431175453
39,-0.0929738897791734
9,-0.13866425306584562
19,-0.09722507963335125
0,-0.32589936169677225
4,0.3687616883379368
63,0.0074352103775986444
17,-0.009826295828004095
4,0.20861696117904016
30,-0.27988633803854884
12,0.1009939378258681
24,-0.03167316857829473
19,-0.20555632612017982
8,0.03361919368862491
6,-0.1466603532823108
13,0.303487543279663
36,0.042628724909885174
15,-0.15963636901864736
35,-0.0796671904900481
9,0.07157196440610458
20,0.08803419490704678
8,-0.10130900331091258
5,-0.2496656250390105
29,0.06511266797677401
1,0.06208754631796032
8,-0.11678811680332202
6,0.23045566311888271
5,0.1928555041459774
13,0.14268314934334653
